TABLE_ID	MB_27	MB_10	MB_13	MB_9	MB_31	MB_6	MB_11	MB_15	NODE_ID
T3	0	0	0	-6	777777	1500000	250000	2794375	22
T4	-43320	658783	922297	4	150428	199976	86034	572830	16
T5	487355	0	0	-6	222222	350000	0	120000	14
T6	328421	0	0	-6	333333	450000	50000	360000	15
T7	600000	0	1	-6	444444	550000	100000	594375	18
T8	200000	0	0	-6	555555	666666	150000	1094375	20
T9	100000	0	0	-6	666666	999999	200000	1794375	21
T10	300000	0	0	-6	777777	1500000	250000	2794375	22
T11	487355	944739	1322635	-6	416576	1300416	144994	3000000	23
T12	0	1750000	2449999	699990	0	0	345004	3000000	23
T13	162459	944740	1322635	-7	416569	999998	145002	3000000	23
T14	190551	1484871	2204804	-7	416569	1301383	191507	3171000	24
T15	205909	1484871	2204804	-7	462863	1301383	191507	3433500	25
T16	176784	1484871	2204804	-7	569164	1301383	191507	3889725	26
T17	162444	1710650	2406812	762	-3	-1	161271	10	13
T100	-230351	1379102	1930743	758	33432	1131241	211658	10	13
T101	487351	1044	0	758	-3	950496	-66082	607555	19
T102	162449	1043	0	758	-3	897769	-12577	607556	19
T103	189368	0	0	0	242780	929059	35947	-171602	12
T104	-162505	5	8	1	0	890203	-62065	583141	17
T1	502046	3047	453	0	25686	895684	-54712	587852	17
T2	50550	395752	554054	1	-150427	199997	53222	353629	15
T200	167998	1703071	2403703	499891	0	13	308289	-1443213	10
T105	157958	0	0	0	-11557	843980	-83859	572829	16
T119	325006	15	22	1	-416592	199999	-78430	-185821	11
T120	450032	796332	1114865	2	-1092368	199999	103196	-185820	11
T118	198005	501930	702703	2	-580893	199999	76421	-172020	12
T123	-4	0	0	1	3	11	-199992	10	13
